timestamp,Whole,AC.central.rear,AC.central.forward,AC.central.Left,AC.central.right,AC.central.monkey,AC.central.Hobs,AC.central.tiger
12/1/2015 8:19:00,56,1262.25,1262.75,1261,1261.25,24328,1262.36,1263.22
12/1/2015 8:19:01,56,1261.5,1262,1260.5,1260.75,9450,1261.81,1262.87
12/1/2015 8:19:02,56,1260.75,1261,1259,1259,14095,1260.9,1262.37
12/1/2015 8:19:03,56,1266,1266.25,1265,1265.75,19503,1263.26,1262.6
12/1/2015 8:19:04,56,1265.75,1267,1265.25,1265.25,22629,1264.69,1263.12
12/1/2015 8:19:05,56,1265.25,1265.75,1264,1264,14343,1264.78,1263.54
12/1/2015 8:19:06,56,1264.25,1264.25,1263,1264,14915,1264.2,1263.7
12/1/2015 8:19:07,56,1264.25,1265,1263.25,1264.25,15018,1264.16,1263.82
12/1/2015 8:19:08,56,1264.25,1264.75,1261.5,1263,27632,1263.64,1263.78
12/1/2015 8:19:09,56,1263,1263,1261.25,1262.75,19365,1262.88,1263.55
12/1/2015 8:19:10,56,1262.75,1263.75,1262.25,1262.75,18663,1262.94,1263.4
12/1/2015 8:19:11,56,1263,1263,1260.25,1260.5,19396,1262.28,1263.12
12/1/2015 8:19:12,56,1260.5,1260.75,1259,1260,32437,1261.08,1262.61
12/1/2015 8:19:13,56,1260,1260,1257.5,1257.75,24929,1259.91,1261.94
12/1/2015 8:19:14,56,1257.75,1258.5,1256.75,1258.25,25194,1258.77,1261.15
12/1/2015 8:19:15,56,1258.25,1259.5,1256.75,1257,22672,1258.45,1260.47
12/1/2015 8:19:16,56,1257,1257.75,1255.5,1257,23190,1257.54,1259.74
12/1/2015 8:19:17,56,1257.25,1258.25,1256.75,1257.75,8183,1257.52,1259.18
12/1/2015 8:19:18,56,1258,1258.75,1257,1257.5,10180,1257.7,1258.81
12/1/2015 8:19:19,56,1257.5,1260,1257.25,1260,15330,1258.16,1258.65
12/1/2015 8:19:20,56,1259.75,1260.25,1258.75,1259,9486,1258.83,1258.69
12/1/2015 8:19:21,56,1259,1260.5,1258.75,1260,8626,1259.23,1258.83
12/1/2015 8:19:22,56,1260,1260.25,1258,1259.5,12301,1259.18,1258.91
12/1/2015 8:19:23,56,1259.75,1261,1259.5,1260.5,8718,1259.71,1259.11
12/1/2015 8:19:24,56,1260.5,1261,1258.75,1260.75,12722,1259.79,1259.28
12/1/2015 8:19:25,56,1260.75,1261,1258.5,1258.75,6810,1259.77,1259.41
12/1/2015 8:19:26,56,1258.75,1258.75,1257.25,1257.5,13416,1258.89,1259.28
12/1/2015 8:19:27,56,1257.25,1258.75,1257,1257.25,11482,1258.38,1259.05
12/1/2015 8:19:28,56,1257.5,1257.75,1256.75,1257,8837,1257.82,1258.74
12/1/2015 8:19:29,56,1257.25,1260,1257,1258.5,20812,1258.16,1258.6
12/1/2015 8:19:30,56,1258.75,1259.75,1258.5,1259,16275,1258.64,1258.61
12/1/2015 8:19:31,56,1259,1259.25,1257,1257.5,8742,1258.38,1258.55
12/1/2015 8:19:32,56,1257.5,1258.75,1256.75,1258.25,5097,1258.07,1258.43
12/1/2015 8:19:33,56,1258.25,1259.75,1258,1258.5,8468,1258.47,1258.44
12/1/2015 8:19:34,56,1258.5,1260,1258.5,1259,7615,1258.86,1258.55
12/1/2015 8:19:35,56,1258.75,1259.25,1258.25,1259.25,5656,1258.81,1258.61
12/1/2015 8:19:36,56,1259,1259.75,1258.25,1258.5,9273,1258.89,1258.67
12/1/2015 8:19:37,56,1258.5,1259,1257.5,1258,2700,1258.57,1258.64
12/1/2015 8:19:38,56,1258,1259,1257.75,1258.75,3201,1258.47,1258.6
12/1/2015 8:19:39,56,1258.75,1258.75,1258,1258.5,1759,1258.42,1258.56
12/1/2015 8:19:40,56,1258.5,1258.75,1257.5,1258.25,3546,1258.27,1258.49
12/1/2015 8:19:41,56,1258.25,1258.75,1258,1258.5,1430,1258.32,1258.45
12/1/2015 8:19:42,56,1258.25,1258.75,1258,1258.5,1400,1258.35,1258.42
12/1/2015 8:19:43,56,1258.25,1258.5,1257,1257.5,7077,1258.05,1258.33
12/1/2015 8:19:44,56,1257.5,1258,1256.75,1256.75,6492,1257.71,1258.17
12/1/2015 8:19:45,56,1256.75,1257,1255.75,1255.75,8548,1257.04,1257.89
12/1/2015 8:19:46,56,1255.75,1256,1254.5,1255.5,22240,1256.15,1257.46
12/1/2015 8:19:47,56,1255.25,1255.5,1252.5,1253.5,28269,1255.07,1256.86
12/1/2015 8:19:48,56,1253.5,1254.5,1253,1253.5,13465,1254.41,1256.25
12/1/2015 8:19:49,56,1253.25,1253.5,1251.25,1252,19264,1253.39,1255.53
12/1/2015 8:19:50,56,1252,1252.5,1250.75,1252,12744,1252.51,1254.78
12/1/2015 8:19:51,56,1252,1252.5,1250.75,1251.5,8431,1252.07,1254.1
12/1/2015 8:19:52,56,1251.5,1252,1250,1250.25,22188,1251.53,1253.46
12/1/2015 8:19:53,56,1250.5,1250.75,1248.25,1250.75,34491,1250.52,1252.72
12/1/2015 8:19:54,56,1250.75,1252.25,1250.75,1251.25,17120,1251.01,1252.29
12/1/2015 8:19:55,56,1251.25,1252.25,1249.75,1250.75,14302,1251,1251.97
12/1/2015 8:19:56,56,1250.5,1251.25,1250,1250,8177,1250.81,1251.68
